sozlesme_hesap_no;toplam_tuketim_kwh;ortalama_tuketim_kwh;medyan_tuketim_kwh;standart_sapma_kwh;minimum_tuketim_kwh;maksimum_tuketim_kwh;fatura_kayit_sayisi;ilce;hesap_sinifi;aktif_donem_sayisi;ilk_donem;son_donem;toplam_tuketim_yuzdelik;tuketim_segmenti
3247727985;10052,87;162,14306451612904;157,135;46,70847848716476;80,85;245,02;62;GÜMÜŞHACIKÖY;Mesken;31;2023-01-01;2025-07-01;97,1332626369742;En yüksek %5
2536282786;10043,14;161,98612903225805;151,255;71,29829861062578;25,39;337,53;62;GÜMÜŞHACIKÖY;Mesken;31;2023-01-01;2025-07-01;97,12972781901732;En yüksek %5
9804483925;10032,31;176,00543859649122;90,64;212,94218749354565;0,0;774,38;57;GÖYNÜCEK;Tarımsal Faaliyetler (Şahıs);31;2023-01-01;2025-07-01;97,12619300106044;En yüksek %5
3889749919;10028,44;164,40065573770494;174,19;58,272432071802555;50,32;260,34;61;GÖYNÜCEK;Mesken;31;2023-01-01;2025-07-01;97,12265818310357;En yüksek %5
742962152;9986,35;161,07016129032257;147,70499999999998;48,15064960465858;82,6;262,26;62;GÜMÜŞHACIKÖY;Mesken;31;2023-01-01;2025-07-01;97,11912336514669;En yüksek %5
551162176;9984,8;161,04516129032257;157,64499999999998;65,98899351200667;49,23;311,53;62;GÜMÜŞHACIKÖY;1 SAYILI CETVELDE YER ALAN KAMU İDARESİ;31;2023-01-01;2025-07-01;97,11558854718983;En yüksek %5
2144973487;9978,78;160,94806451612905;131,26;83,33322968638011;52,4;314,56;62;GÜMÜŞHACIKÖY;Mesken;31;2023-01-01;2025-07-01;97,11205372923295;En yüksek %5
5539995482;9930,93;160,17629032258066;147,91;57,755630716453204;73,19;324,24;62;GÖYNÜCEK;Mesken;31;2023-01-01;2025-07-01;97,10851891127606;En yüksek %5
5715866514;9900,52;162,30360655737707;152,63;54,299047537158735;74,69;369,87;61;GÜMÜŞHACIKÖY;Mesken;31;2023-01-01;2025-07-01;97,10498409331919;En yüksek %5
7653521803;9877,64;159,31677419354838;154,93;48,599393026439536;83,63;278,78;62;GÜMÜŞHACIKÖY;Mesken;31;2023-01-01;2025-07-01;97,10144927536231;En yüksek %5
