ilce;hesap_sinifi;toplam_kwh;ortalama_kwh;medyan_kwh;benzersiz_musteri;ilce_toplam_kwh;ilce_tuketim_payi_yuzde
GÜMÜŞHACIKÖY;Kar Amacı Güden Dernek,Vakıf,Müze;5548,22;36,0274025974026;6,42;3;74526473,58;0,007444629718115264
GÜMÜŞHACIKÖY;Karayolları Genel Müdürlüğü Aydınlatma;1238340,68;30203,431219512193;36810,9;1;74526473,58;1,661611801168494
GÜMÜŞHACIKÖY;Köy İçme Suyu Temini ve Dağıtımı Tesisi;664098,05;679,0368609406953;179,55;29;74526473,58;0,8910901295861369
GÜMÜŞHACIKÖY;Lisansız Üreticiler;2860817,75;18698,15522875817;374,4;5;74526473,58;3,8386597575009
GÜMÜŞHACIKÖY;Lisansız Üreticiler - Resmi Daire;43021,85;1195,0513888888888;770,625;1;74526473,58;0,05772693639370773
GÜMÜŞHACIKÖY;Mesken;37674622,87;57,23982453368257;49,39;15592;74526473,58;50,55199992732569
GÜMÜŞHACIKÖY;Muhtarlık Hizmet Binaları;4758,86;30,3112101910828;7,27;8;74526473,58;0,006385462469107209
GÜMÜŞHACIKÖY;Resmi Daire;507783,24;759,0182959641255;174,23;33;74526473,58;0,6813461252194136
GÜMÜŞHACIKÖY;Resmi Daire Lojman;31990,44;92,4579190751445;34,465;21;74526473,58;0,04292493454109304
GÜMÜŞHACIKÖY;Resmi Hayır Kurumları,Dernek,Vakıf,Müze;2274,81;103,40045454545454;84,03;2;74526473,58;0,0030523515882689913
GÜMÜŞHACIKÖY;Resmi SAĞLIK KURULUŞLARI,RESMİ SPOR TES.;448181,29;2046,489908675799;143,58;6;74526473,58;0,6013719266065937
GÜMÜŞHACIKÖY;Resmi Üniversite,Yük.Okul,Kurs,Yurt,Okul;329895,84;1122,0946938775512;477,20000000000005;32;74526473,58;0,4426559102462768
GÜMÜŞHACIKÖY;Sanayi;623692,53;6429,819896907216;126,6;7;74526473,58;0,8368737980477514
GÜMÜŞHACIKÖY;Süt Toplama Merkezi;351243,93;487,8387916666667;206,94;17;74526473,58;0,4713008856147732
GÜMÜŞHACIKÖY;Tarımsal Faaliyetler (Kooperatif);3290488,93;4097,744620174346;374,4;24;74526473,58;4,415194724687791
GÜMÜŞHACIKÖY;Tarımsal Faaliyetler (Şahıs);7025620,78;502,2964738685923;15,96;354;74526473,58;9,427013573181334
GÜMÜŞHACIKÖY;Ticari Faaliyet - Yazıhane;10605553,97;166,75399323899373;42,3;1504;74526473,58;14,230586073035553
GÜMÜŞHACIKÖY;Ölçümsüz Aboneler (Resmi Daire);11958,61;332,18361111111113;74,4;2;74526473,58;0,016046123512288693
GÜMÜŞHACIKÖY;İbadethane Aydınlatma;70710,98;38,32573441734417;14,45;83;74526473,58;0,09488035137486509
GÜMÜŞHACIKÖY;İbadethane Isıtma/Soğutma/Lojman;438049,9;76,31531358885017;55,795;143;74526473,58;0,5877775761518864
GÜMÜŞHACIKÖY;İktisadi İşletmeleri Hariç Dernek ve Vkf;11383,69;116,16010204081633;19,200000000000003;5;74526473,58;0,015274692942206968
GÜMÜŞHACIKÖY;İç Tüketim;13727,33;221,40854838709677;226,655;1;74526473,58;0,01841940097335275
GÜMÜŞHACIKÖY;İçme-Kullanma Suyu (Belediye);1500074,75;4411,984558823529;372,085;8;74526473,58;2,0128079029390187
GÜMÜŞHACIKÖY;Şantiye ve Geçici Aboneler;519342,94;102,77912923016031;21,94;137;74526473,58;0,6968569892717578
GÜMÜŞHACIKÖY;Şantiye ve Geçici Aboneler (Belediye);31,19;1,949375;0,095;1;74526473,58;4,185090009192409e-05
GÜMÜŞHACIKÖY;Şehit Aileleri ve Gaziler;155802,43;88,72575740318906;82,915;34;74526473,58;0,2090564902856363
HAMAMÖZÜ;1 SAYILI CETVELDE YER ALAN KAMU İDARESİ;737549,54;488,44340397350993;26,825000000000003;43;8846428,209999999;8,337257958712357
HAMAMÖZÜ;Balıkçılık ve Su Ürünleri Yetiştiriciliğ;4865,3;77,22698412698414;79,12;1;8846428,209999999;0,05499733773343989
HAMAMÖZÜ;Belediye;32348,44;220,0574149659864;15,96;5;8846428,209999999;0,36566667622344273
HAMAMÖZÜ;Bina Ort Kul (Asn,Hidr,Kapıcı Dai vb.);21954,48;44,35248484848485;34,41;27;8846428,209999999;0,248173381152663
HAMAMÖZÜ;Büyükbaş-Küçükbaş Hayvancılık;5996,46;56,04168224299065;33,01;3;8846428,209999999;0,06778396724252625
HAMAMÖZÜ;Cemevleri;283,09;8,578484848484848;8,65;1;8846428,209999999;0,0032000485764412255
HAMAMÖZÜ;Kar Amacı Güden Dernek,Vakıf,Müze;11,879999999999999;0,42428571428571427;0,1;1;8846428,209999999;0,00013429148711760133
HAMAMÖZÜ;Köy İçme Suyu Temini ve Dağıtımı Tesisi;74507,55;420,9466101694915;77,98;4;8846428,209999999;0,8422331389721414
HAMAMÖZÜ;Lisansız Üreticiler;839,0400000000001;279,68;282,72;1;8846428,209999999;0,009484505837639077
HAMAMÖZÜ;Mesken;5363210,72;48,45603368208019;40,86;2650;8846428,209999999;60,62571913416341
HAMAMÖZÜ;Muhtarlık Hizmet Binaları;76,7;2,4741935483870967;1,64;2;8846428,209999999;0,0008670165877037057
HAMAMÖZÜ;Resmi Daire;35144,54;235,86939597315435;149,45;7;8846428,209999999;0,3972737828841772
HAMAMÖZÜ;Resmi Daire Lojman;17539,43;99,09282485875707;0,23;8;8846428,209999999;0,19826566817298572
HAMAMÖZÜ;Resmi Hayır Kurumları,Dernek,Vakıf,Müze;1558,85;12,274409448818897;8,8;3;8846428,209999999;0,017621236085292327
HAMAMÖZÜ;Resmi SAĞLIK KURULUŞLARI,RESMİ SPOR TES.;25056,19;221,73619469026548;134,78;3;8846428,209999999;0,283235102407506
HAMAMÖZÜ;Resmi Üniversite,Yük.Okul,Kurs,Yurt,Okul;14447,99;314,08673913043475;258,38;6;8846428,209999999;0,16332003896971659
HAMAMÖZÜ;Sanayi;391592,56;8512,881739130435;9485,125;2;8846428,209999999;4,426561214359304
HAMAMÖZÜ;Süt Toplama Merkezi;25968,45;204,4759842519685;182,81;3;8846428,209999999;0,29354728692248105
HAMAMÖZÜ;Tarımsal Faaliyetler (Kooperatif);12398,920000000002;885,637142857143;278,16;1;8846428,209999999;0,14015735736129376
HAMAMÖZÜ;Tarımsal Faaliyetler (Şahıs);23544,79;35,61995461422088;8,66;17;8846428,209999999;0,26615024099087786
HAMAMÖZÜ;Ticari Faaliyet - Yazıhane;1612463,01;215,91631092662024;39,53;179;8846428,209999999;18,22727740193802
HAMAMÖZÜ;Ölçümsüz Aboneler (Resmi Daire);2304,85;460,96999999999997;473,18;1;8846428,209999999;0,026054018020454834
HAMAMÖZÜ;İbadethane Aydınlatma;13934,71;26,39149621212121;15,095;22;8846428,209999999;0,15751792327041333
HAMAMÖZÜ;İbadethane Isıtma/Soğutma/Lojman;100835,64;69,87916839916839;49,44;35;8846428,209999999;1,1398457954591825
HAMAMÖZÜ;İktisadi İşletmeleri Hariç Dernek ve Vkf;15240,72;200,5357894736842;191,12;2;8846428,209999999;0,17228105669553612
HAMAMÖZÜ;İçme-Kullanma Suyu (Belediye);107121,98;2678,0495;38,03;1;8846428,209999999;1,2109065654193558
HAMAMÖZÜ;Şantiye ve Geçici Aboneler;201027,24;500,0677611940298;53,64;10;8846428,209999999;2,2724113645409894
HAMAMÖZÜ;Şehit Aileleri ve Gaziler;4605,14;38,37616666666667;33,785;2;8846428,209999999;0,052056489813531205
